Frame Rate:,23.9760246510
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
1,00:00:00.042,7.875524450231481,6.514187282986111,7.492296006944445,9.62009006076389
2,00:00:00.083,6.751998336226852,6.101535373263889,5.829074435763889,8.325385199652779
3,00:00:00.125,8.437011718749998,7.547390407986111,7.758870442708333,10.004774305555555
4,00:00:00.167,8.767885561342593,8.189344618055555,7.991590711805555,10.122721354166666
5,00:00:00.209,7.9972149884259265,6.814317491319445,7.709418402777778,9.467909071180555
6,00:00:00.250,6.416937934027778,6.069037543402778,5.129665798611111,8.052110460069445
7,00:00:00.292,7.372124565972221,7.248670789930555,5.954237196180555,8.913465711805555
8,00:00:00.334,7.6605088975694455,7.067084418402778,6.974555121527778,8.939887152777779
9,00:00:00.375,8.573938440393517,8.39358181423611,7.456136067708333,9.87209743923611
10,00:00:00.417,6.777515552662037,6.000081380208333,5.794976128472222,8.537489149305555
11,00:00:00.459,8.256049262152777,7.751410590277778,7.095241970486111,9.921495225694445
12,00:00:00.500,9.147696035879628,9.05759006076389,7.963243272569445,10.422254774305555
13,00:00:00.542,9.202537254050926,8.830457899305555,8.098280164930555,10.678873697916666
14,00:00:00.584,7.639775028935184,7.419379340277778,5.932183159722222,9.567762586805555
15,00:00:00.626,8.378137659143519,7.830702039930555,6.9208984375,10.3828125
16,00:00:00.667,8.000207971643517,7.773708767361111,7.083577473958333,9.14333767361111
17,00:00:00.709,8.972258391203704,8.583143446180555,8.03757052951389,10.296061197916666
18,00:00:00.751,8.89553493923611,8.884168836805555,7.184597439236111,10.617838541666666
19,00:00:00.792,8.145354094328704,8.03805881076389,6.841064453125,9.556939019097221
20,00:00:00.834,9.415183738425926,8.98727756076389,8.18796115451389,11.0703125
21,00:00:00.876,11.023084852430555,11.470133463541666,8.854844835069445,12.744276258680555
22,00:00:00.918,10.436939380787038,10.461480034722221,8.986165364583334,11.863172743055555
23,00:00:00.959,10.188503689236112,10.245307074652779,8.33447265625,11.985731336805555
24,00:00:01.001,10.289333767361112,10.660508897569445,8.302815755208334,11.904676649305555
25,00:00:01.043,11.019015842013888,11.06100802951389,9.444634331597221,12.551405164930555
26,00:00:01.084,10.214545355902777,10.737603081597221,8.372721354166666,11.533311631944445
27,00:00:01.126,10.557743778935185,10.40426974826389,8.799479166666666,12.469482421875
28,00:00:01.168,10.54782443576389,11.386664496527779,8.47439236111111,11.782416449652779
29,00:00:01.210,11.106770833333334,11.00094943576389,9.51242404513889,12.806939019097221
30,00:00:01.251,10.197093822337964,10.275526258680555,8.582655164930555,11.733100043402779
31,00:00:01.293,11.149775752314815,11.838270399305555,9.071858723958334,12.539198133680555
32,00:00:01.335,9.668438946759258,9.825493706597221,7.737820095486111,11.442003038194445
33,00:00:01.376,9.718189380787038,9.696641710069445,8.216498480902779,11.24142795138889
34,00:00:01.418,9.780372902199074,10.732964409722221,7.480414496527778,11.127739800347221
35,00:00:01.460,9.837221498842593,9.850911458333334,8.233154296875,11.427598741319445
36,00:00:01.501,9.562861689814815,9.617594401041666,7.798448350694445,11.272542317708334
37,00:00:01.543,10.355242693865742,11.250922309027779,8.04416232638889,11.770643446180555
38,00:00:01.585,9.892985026041666,9.785319010416666,8.166259765625,11.727376302083334
39,00:00:01.627,9.8388671875,9.96877712673611,8.0556640625,11.49216037326389
40,00:00:01.668,10.207184968171296,11.378580729166666,7.298258463541667,11.944715711805555
41,00:00:01.710,8.647316261574074,8.781331380208334,6.624213324652778,10.53640407986111
42,00:00:01.752,8.821144386574074,9.403618706597221,6.808892144097222,10.250922309027779
43,00:00:01.793,9.96728515625,10.774820963541666,7.735541449652778,11.391493055555555
44,00:00:01.835,9.651466652199074,9.850477430555555,7.710964626736111,11.392957899305555
45,00:00:01.877,9.554497612847221,10.230305989583334,7.039605034722222,11.39358181423611
46,00:00:01.919,9.222565827546296,9.889594184027779,6.980495876736111,10.797607421875
47,00:00:01.960,10.133418330439815,10.896728515625,8.16842990451389,11.335096571180555
48,00:00:02.002,10.55150462962963,11.99221462673611,7.823079427083333,11.839219835069445
49,00:00:02.044,9.510190610532407,10.03030056423611,7.382405598958333,11.117865668402779
50,00:00:02.085,9.345558449074074,10.01608615451389,6.943820529513889,11.076768663194445
51,00:00:02.127,9.900435836226853,11.132405598958334,7.273247612847222,11.295654296875
52,00:00:02.169,9.680519386574074,9.904622395833334,8.085205078125,11.05173068576389
53,00:00:02.211,9.89133029513889,10.955810546875,7.359890407986111,11.358289930555555
54,00:00:02.252,8.456262659143519,9.267768012152779,6.312689887152778,9.788330078125
55,00:00:02.294,9.237150969328704,9.96164279513889,7.202528211805555,10.547281901041666
56,00:00:02.336,9.756944444444445,10.90478515625,7.323703342013889,11.042344835069445
